PWR_Periph5V,PWR_Servo5V,PWR_RSSI,PWR_UsbOk,PWR_BrickOk,PWR_ServoOk,PWR_PeriphOC,PWR_HipwrOC
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.185253620147705,5.185253620147705,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.178808689117432,5.178808689117432,9.219422856485836e-41,0,1,1,0,0
5.177196979522705,5.177196979522705,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.161083698272705,5.161083698272705,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.180419921875,5.180419921875,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.178808689117432,5.178808689117432,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.177196979522705,5.177196979522705,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.201366901397705,5.201366901397705,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.15625,5.15625,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.157861232757568,5.157861232757568,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.194921970367432,5.194921970367432,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.153027057647705,5.153027057647705,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.202978610992432,5.202978610992432,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.190087795257568,5.190087795257568,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.185253620147705,5.185253620147705,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.202978610992432,5.202978610992432,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.20458984375,5.20458984375,9.219422856485836e-41,0,1,1,0,0
5.194921970367432,5.194921970367432,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.15625,5.15625,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.177196979522705,5.177196979522705,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.194921970367432,5.194921970367432,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.133691310882568,5.133691310882568,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.148193359375,5.148193359375,9.219422856485836e-41,0,1,1,0,0
5.143359184265137,5.143359184265137,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.148193359375,5.148193359375,9.219422856485836e-41,0,1,1,0,0
5.177196979522705,5.177196979522705,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.144970417022705,5.144970417022705,9.219422856485836e-41,0,1,1,0,0
5.151415824890137,5.151415824890137,9.219422856485836e-41,0,1,1,0,0
5.136913776397705,5.136913776397705,9.219422856485836e-41,0,1,1,0,0
5.136913776397705,5.136913776397705,9.219422856485836e-41,0,1,1,0,0
5.154638767242432,5.154638767242432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.148193359375,5.148193359375,9.219422856485836e-41,0,1,1,0,0
5.14013671875,5.14013671875,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.144970417022705,5.144970417022705,9.219422856485836e-41,0,1,1,0,0
5.144970417022705,5.144970417022705,9.219422856485836e-41,0,1,1,0,0
5.136913776397705,5.136913776397705,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.144970417022705,5.144970417022705,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.178808689117432,5.178808689117432,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.127245903015137,5.127245903015137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.202978610992432,5.202978610992432,9.219422856485836e-41,0,1,1,0,0
5.186865329742432,5.186865329742432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.194921970367432,5.194921970367432,9.219422856485836e-41,0,1,1,0,0
5.201366901397705,5.201366901397705,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.190087795257568,5.190087795257568,9.219422856485836e-41,0,1,1,0,0
5.199755668640137,5.199755668640137,9.219422856485836e-41,0,1,1,0,0
5.194921970367432,5.194921970367432,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.178808689117432,5.178808689117432,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.20458984375,5.20458984375,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.185253620147705,5.185253620147705,9.219422856485836e-41,0,1,1,0,0
5.161083698272705,5.161083698272705,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.186865329742432,5.186865329742432,9.219422856485836e-41,0,1,1,0,0
5.180419921875,5.180419921875,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.14013671875,5.14013671875,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.199755668640137,5.199755668640137,9.219422856485836e-41,0,1,1,0,0
5.15625,5.15625,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.199755668640137,5.199755668640137,9.219422856485836e-41,0,1,1,0,0
5.201366901397705,5.201366901397705,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.201366901397705,5.201366901397705,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.161083698272705,5.161083698272705,9.219422856485836e-41,0,1,1,0,0
5.15625,5.15625,9.219422856485836e-41,0,1,1,0,0
5.161083698272705,5.161083698272705,9.219422856485836e-41,0,1,1,0,0
5.199755668640137,5.199755668640137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.190087795257568,5.190087795257568,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.185253620147705,5.185253620147705,9.219422856485836e-41,0,1,1,0,0
5.180419921875,5.180419921875,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.201366901397705,5.201366901397705,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.177196979522705,5.177196979522705,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.157861232757568,5.157861232757568,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.199755668640137,5.199755668640137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.190087795257568,5.190087795257568,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.161083698272705,5.161083698272705,9.219422856485836e-41,0,1,1,0,0
5.153027057647705,5.153027057647705,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.190087795257568,5.190087795257568,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.186865329742432,5.186865329742432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.177196979522705,5.177196979522705,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.15625,5.15625,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.199755668640137,5.199755668640137,9.219422856485836e-41,0,1,1,0,0
5.193310260772705,5.193310260772705,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.1884765625,5.1884765625,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.159472465515137,5.159472465515137,9.219422856485836e-41,0,1,1,0,0
5.191699028015137,5.191699028015137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.178808689117432,5.178808689117432,9.219422856485836e-41,0,1,1,0,0
5.169140338897705,5.169140338897705,9.219422856485836e-41,0,1,1,0,0
5.178808689117432,5.178808689117432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.157861232757568,5.157861232757568,9.219422856485836e-41,0,1,1,0,0
5.157861232757568,5.157861232757568,9.219422856485836e-41,0,1,1,0,0
5.182031154632568,5.182031154632568,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.153027057647705,5.153027057647705,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.162695407867432,5.162695407867432,9.219422856485836e-41,0,1,1,0,0
5.161083698272705,5.161083698272705,9.219422856485836e-41,0,1,1,0,0
5.194921970367432,5.194921970367432,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.151415824890137,5.151415824890137,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.173974514007568,5.173974514007568,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.20458984375,5.20458984375,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.170752048492432,5.170752048492432,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.164306640625,5.164306640625,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.198144435882568,5.198144435882568,9.219422856485836e-41,0,1,1,0,0
5.196533203125,5.196533203125,9.219422856485836e-41,0,1,1,0,0
5.154638767242432,5.154638767242432,9.219422856485836e-41,0,1,1,0,0
5.138525485992432,5.138525485992432,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.136913776397705,5.136913776397705,9.219422856485836e-41,0,1,1,0,0
5.135302543640137,5.135302543640137,9.219422856485836e-41,0,1,1,0,0
5.135302543640137,5.135302543640137,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.133691310882568,5.133691310882568,9.219422856485836e-41,0,1,1,0,0
5.14013671875,5.14013671875,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.154638767242432,5.154638767242432,9.219422856485836e-41,0,1,1,0,0
5.165917873382568,5.165917873382568,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.14013671875,5.14013671875,9.219422856485836e-41,0,1,1,0,0
5.138525485992432,5.138525485992432,9.219422856485836e-41,0,1,1,0,0
5.148193359375,5.148193359375,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.151415824890137,5.151415824890137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.175585746765137,5.175585746765137,9.219422856485836e-41,0,1,1,0,0
5.128857135772705,5.128857135772705,9.219422856485836e-41,0,1,1,0,0
5.144970417022705,5.144970417022705,9.219422856485836e-41,0,1,1,0,0
5.144970417022705,5.144970417022705,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.138525485992432,5.138525485992432,9.219422856485836e-41,0,1,1,0,0
5.151415824890137,5.151415824890137,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.17236328125,5.17236328125,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.143359184265137,5.143359184265137,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.141747951507568,5.141747951507568,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.146582126617432,5.146582126617432,9.219422856485836e-41,0,1,1,0,0
5.167529106140137,5.167529106140137,9.219422856485836e-41,0,1,1,0,0
5.149804592132568,5.149804592132568,9.219422856485836e-41,0,1,1,0,0
5.148193359375,5.148193359375,9.219422856485836e-41,0,1,1,0,0
